location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10008.0,Salt Lake City,790,APF-PAM1,"PAM Series Multi-Voltage Relay Modules,",Y,R,130003.0,Apollo-Fire,OP/OQ,10008.0,200.0,400.0,Y,Y,Y,131.0,Y,SL-7J4,N,Y,N,Replenishment method,APF
10008.0,Salt Lake City,110365,APF-STN25,2.5 Feet Metal Sampling Tube,Y,R,130003.0,Apollo-Fire,OP/OQ,10008.0,1.0,5.0,Y,Y,Y,3.0,Y,SL-8J5,N,Y,N,Replenishment method,APF
10008.0,Salt Lake City,110519,APF-STN50,5.0 Feet Metal Sampling Tube,Y,R,130003.0,Apollo-Fire,OP/OQ,10008.0,1.0,5.0,Y,Y,Y,10.0,Y,SL-8J5,N,Y,N,Replenishment method,APF
10008.0,Salt Lake City,283414,APF-STS100,STS-10.0 Sampling Tube,Y,R,130003.0,Apollo-Fire,Min/Max,10008.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,APF
166553.0,Austin,321717,APF-SL2000P,Photoelectric Duct Smoke Detec,Y,R,130003.0,Apollo-Fire,Min/Max,166553.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,APF
166559.0,Houston,321717,APF-SL2000P,Photoelectric Duct Smoke Detec,Y,R,130003.0,Apollo-Fire,Min/Max,166559.0,1.0,3.0,Y,Y,Y,10.0,N,,N,N,Y,Replenishment method,APF
166561.0,San Antonio,110519,APF-STN50,5.0 Feet Metal Sampling Tube,Y,R,130003.0,Apollo-Fire,Min/Max,166561.0,0.0,0.0,N,Y,Y,7.0,N,,N,N,Y,Replenishment method,APF
175890.0,New York,790,APF-PAM1,"PAM Series Multi-Voltage Relay Modules,",Y,R,130003.0,Apollo-Fire,EOQ,175890.0,0.0,0.0,Y,Y,Y,0.0,Y,BB04-04,N,Y,N,Replenishment method,APF
175890.0,New York,283416,APF-STS50,STS-5.0 Sampling Tube,Y,R,130003.0,Apollo-Fire,Min/Max,175890.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,APF
175892.0,Green Bay,727,APF-MR808T,MR-800 Series Multi-Voltage Control Rela,Y,R,130003.0,Apollo-Fire,Min/Max,175891.0,1.0,2.0,Y,Y,Y,5.0,Y,AA01,Y,N,N,Replenishment method,APF
