location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10008.0,Salt Lake City,244235,ASI-16100,VAV controller for ASI or BACnet MS/TP,Y,R,183570.0,ASI Controls,OP/OQ,10008.0,5.0,10.0,Y,Y,Y,17.0,Y,SL-8F6,N,Y,N,Replenishment method,ASI
10008.0,Salt Lake City,244254,ASI-39540,40 I/O points: 16 universal inputs (0-10,Y,R,183570.0,ASI Controls,OP/OQ,10008.0,3.0,10.0,Y,Y,Y,6.0,Y,SL-8F5,N,Y,N,Replenishment method,ASI
10008.0,Salt Lake City,275118,ASI-BACIQACFCW,Sequences for On/Off package unit Air Co,Y,R,183570.0,ASI Controls,Min/Max,10008.0,0.0,0.0,N,Y,Y,15.0,N,,N,N,Y,Replenishment method,ASI
10008.0,Salt Lake City,275124,ASI-DAK5070C,"7.0in touchscreen 65,535 colors, 800x480",Y,R,183570.0,ASI Controls,Min/Max,10008.0,0.0,0.0,Y,Y,Y,0.0,Y,SL-8F6,N,Y,N,Replenishment method,ASI
10008.0,Salt Lake City,275133,ASI-EXPERTRL,Re-licensing of just ASI Expert,Y,R,183570.0,ASI Controls,Min/Max,10008.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,ASI
10008.0,Salt Lake City,275212,ASI-TSD4,"Duct insertion sensor, 4in, with J box",Y,R,183570.0,ASI Controls,OP/OQ,10008.0,5.0,10.0,Y,Y,Y,12.0,Y,SL-8F5,N,Y,N,Replenishment method,ASI
10008.0,Salt Lake City,275231,ASI-WS061,LCD temperature sensor with digital disp,Y,R,183570.0,ASI Controls,OP/OQ,10008.0,2.0,5.0,Y,Y,Y,4.0,Y,SL-8F6,N,Y,N,Replenishment method,ASI
10770.0,Nashville,244235,ASI-16100,VAV controller for ASI or BACnet MS/TP,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,244236,ASI-16100DFA,ASIC/1-6100 VAV with Direct Feedback Act,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,244237,ASI-16100MB,VAV controller for ASI or BACnet MS/TP n,Y,R,183570.0,ASI Controls,Min/Max,10770.0,5.0,10.0,Y,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,244252,ASI-39520,20 I/O points: 8 universal inputs (0-10,Y,R,183570.0,ASI Controls,Min/Max,10770.0,1.0,2.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,244254,ASI-39540,40 I/O points: 16 universal inputs (0-10,Y,R,183570.0,ASI Controls,Min/Max,10770.0,1.0,3.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275201,ASI-SCP050,50ft sensor cable with fitted modular co,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275212,ASI-TSD4,"Duct insertion sensor, 4in, with J box",Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275222,ASI-WS001,Wall mounted temperature sensor; female,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,3.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275228,ASI-WS031,Wall mounted temperature sensor with pus,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275229,ASI-WS031R2,Wall mounted temperature sensor with pus,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275231,ASI-WS061,LCD temperature sensor with digital disp,Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275240,ASI-WSR2S,"Wall mounted temperature sensor, screw t",Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
10770.0,Nashville,275239,ASI-WSR2SO,"Wall mount temperature sensor, screw ter",Y,R,183570.0,ASI Controls,Min/Max,10770.0,2.0,4.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
166557.0,Dallas,275222,ASI-WS001,Wall mounted temperature sensor; female,Y,R,183570.0,ASI Controls,Min/Max,166557.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
173042.0,Boston,244239,ASI-18100,BACnet-MS/TP or ASI Protocol - Rooftop P,Y,R,183570.0,ASI Controls,Min/Max,173042.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
173043.0,Ecommerce,275221,ASI-VISUALEXPERT,Windows based software for configuring a,N,R,183570.0,ASI Controls,Min/Max,173043.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,244236,ASI-16100DFA,ASIC/1-6100 VAV with Direct Feedback Act,Y,R,183570.0,ASI Controls,Min/Max,175883.0,15.0,25.0,Y,Y,Y,25.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,244237,ASI-16100MB,VAV controller for ASI or BACnet MS/TP n,Y,R,183570.0,ASI Controls,OP/OQ,175883.0,10.0,20.0,Y,Y,Y,15.0,Y,ASI,N,Y,N,Replenishment method,ASI
175883.0,Charlotte,244250,ASI-36115MB,Programmable controller with onboard air,Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,306341,ASI-EXPWLRL,ReLicensing of ASI Expert &  ASI Weblink,Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275164,ASI-N4DRV5K,Niagara 4 ASI Protocol Driver with 5000,Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275167,ASI-N4UP1K,Add 1000 points/20 Device limit to exist,Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275173,ASI-PRK249,"Resistor (quantity=1), 249 ohm, 0.1% tol",Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,31.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275189,ASI-RH3WSR,Room relative humidity sensor  3%  with,Y,R,183570.0,ASI Controls,Min/Max,175883.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275212,ASI-TSD4,"Duct insertion sensor, 4in, with J box",Y,R,183570.0,ASI Controls,OP/OQ,175883.0,10.0,20.0,Y,Y,Y,0.0,Y,ASI,N,Y,N,Replenishment method,ASI
175883.0,Charlotte,275213,ASI-TSD8,"Duct insertion sensor, 8in, with J box",Y,R,183570.0,ASI Controls,OP/OQ,175883.0,5.0,10.0,Y,Y,Y,9.0,Y,ASI,N,Y,N,Replenishment method,ASI
175883.0,Charlotte,275222,ASI-WS001,Wall mounted temperature sensor; female,Y,R,183570.0,ASI Controls,OP/OQ,175883.0,10.0,20.0,Y,Y,Y,30.0,Y,ASI,N,Y,N,Replenishment method,ASI
175883.0,Charlotte,275228,ASI-WS031,Wall mounted temperature sensor with pus,Y,R,183570.0,ASI Controls,OP/OQ,175883.0,5.0,10.0,Y,Y,Y,15.0,Y,ASI,N,Y,N,Replenishment method,ASI
175883.0,Charlotte,273185,ASI-WS041,Wall mounted temperature sensor with var,Y,R,183570.0,ASI Controls,Min/Max,175883.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,ASI
175883.0,Charlotte,275239,ASI-WSR2SO,"Wall mount temperature sensor, screw ter",Y,R,183570.0,ASI Controls,Min/Max,175883.0,1.0,10.0,Y,Y,Y,4.0,N,,N,N,Y,Replenishment method,ASI
175888.0,New Jersey,297531,ASI-EXPERTL,ASI Expert Licensec- NEW,Y,R,183570.0,ASI Controls,Min/Max,175888.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ASI
