location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10770.0,Nashville,348481,BAP-BA1KH210RBW,Delta Style Room Humidity Sensor\ 0 to,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,10770.0,5.0,10.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,BAP
166553.0,Austin,114441,BAP-BALDT4RR10BB,Water Detector [LDT4/RR10/BB] [Blue] 2.0,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166553.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,BAP
166557.0,Dallas,123316,BA/T1K[50 TO 100F]-RPP-25-BB2,"50-100 deg, Plat RTD 1K, 4-20ma",N,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166557.0,0.0,0.0,N,Y,Y,25.0,N,,N,N,Y,Replenishment method,BAP
166557.0,Dallas,515035,BAP-BALDT4RR5BB,Water Detector [LDT4/RR5/BB] [Blue] 2.0,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,10006.0,0.0,0.0,N,Y,Y,8.0,N,,Y,N,Y,Replenishment method,BAP
166557.0,Dallas,123973,BAP-ZPSACC01,2in X 4in Stainless Steel Wall Plate wit,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166557.0,3.0,5.0,Y,Y,Y,10.0,N,,N,N,Y,Replenishment method,BAP
166557.0,Dallas,111635,BAP-ZPSACC20,Low Profile Pressure Pickup Port,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166557.0,2.0,4.0,Y,Y,Y,11.0,N,,N,N,Y,Replenishment method,BAP
166557.0,Dallas,145731,BAT1K0TO120FRPP25WP,ROOM TEMP TRANSMITTER,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166557.0,4.0,12.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,BAP
166559.0,Houston,154603,BAP-BALDT4RR50BB,Water Detector [LDT4/RR50/BB] [Blue] 2.0,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166559.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,BAP
166561.0,San Antonio,114441,BAP-BALDT4RR10BB,Water Detector [LDT4/RR10/BB] [Blue] 2.0,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166561.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,BAP
166561.0,San Antonio,108966,BAP-BALDT4RR25BB,Water Detector [LDT4/RR25/BB] [Blue] 2.0,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166561.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,BAP
166561.0,San Antonio,103555,BAP-ZPSACC10,Outside Air Pickup Port\ Rooftop or Wal,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,166561.0,0.0,0.0,N,Y,Y,7.0,N,,N,N,Y,Replenishment method,BAP
173042.0,Boston,487841,BA/10K-3-O-BB,BA/10K-3-O-BB,Y,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,173042.0,0.0,0.0,N,Y,Y,28.0,N,,N,N,Y,Replenishment method,BAP
173042.0,Boston,114827,BAP-BA10K3D8BBX,Duct Temperature Sensor\ 10K-3 Thermist,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,173042.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,BAP
173042.0,Boston,107734,BAP-BA10K3SP,Wallplate Temperature Sensor\ Stainless,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Up To,173042.0,,,Y,Y,Y,0.0,N,,N,Y,Y,Replenishment method,BAP
175888.0,New Jersey,110668,BA/10K-3-I-4-WP,"Immersion Temperature Sensor, 10K Type I",Y,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,10.0,Y,AI10-03A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,297162,BA/T1K[-30 TO 130F]-D-12,"BA/T1K[-30 TO 130F]-D-12""",N,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,175888.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,BAP
175888.0,New Jersey,115820,BA/T1K[20 TO 120F]-D-4,BAPI Duct Temperature Transmitter,N,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,2.0,Y,AI10-03A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141510,BA1K1RPFEP10,BAPI TEMP SENSOR FOR LOW TEMP,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,15.0,Y,AI10-04A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141519,BA1K3WI4BB2TS,BAPI TEMP. SENSOR,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,5.0,Y,AI10-04A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141520,BA1K3WI8BB2TS,BAPI TEMP SENSOR,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,2.0,Y,AI10-03A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141579,BA2M316,"THERMOWELL 2"" 316 STAINLESS",Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,2.0,Y,AI10-03A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141583,BA3KSP,BAPI 3K WALL PLATE SENSOR-SS,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,3.0,Y,AI10-05A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141586,BA4INCHM316,BAPI SENSOR,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,8.0,Y,AI10-03A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141693,BAT1K1000CXORBB2,BAPI TEMP XMTR w/ 4-20mA OUTPUT & NEMA 4,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,7.0,Y,AJ10-05A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141714,BAT1K30TO130FD12,BAPI 12 IN. DUCT MOUNT,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,3.0,Y,AI11-04A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141717,BAT1K30TO212FI4INSSWP,TEMP SENSOR,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,6.0,Y,AJ10-05A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141718,BAT1K30TO212FI8INSSWP,TEMP SENSOR,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,5.0,Y,AJ10-05A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141721,BAT1K4060CXORBB2,BAPI TEMPERATURE TRANSMITTER -40 to 60 C,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,8.0,Y,AI11-04A,N,Y,N,Replenishment method,BAP
175888.0,New Jersey,141724,BAT1K7TO49CRPFEP210FTBB2,BAPI TRANSMITTER,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175888.0,0.0,0.0,N,Y,Y,8.0,Y,AI11-04A,N,Y,N,Replenishment method,BAP
175890.0,New York,511690,BA/ROM-BLE-102-EZ,"Resistance Output Module, 10K-2 thermist",Y,T,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",Min/Max,175890.0,0.0,0.0,N,Y,Y,6.0,N,0,N,N,Y,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141434,BA100KRPFEP10FOOT,BAPI SENSOR,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,4.0,Y,AB1256,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141471,BA10K2RPFEP50,SENSOR BAPI,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,4.0,Y,AB1256,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141472,BA10K2RZCG,BAPI DELTA ROOM SENSOR,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,4.0,Y,AB1256,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141490,BA10K3D8BBXTS,BAPI DUCT SENSOR W/TERMINAL STRIP CONN.,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,2.0,Y,AB1255,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141502,BA10K3RPFEP220FT,BAPI 10K-3 PROBE W/ 20FT FEP CABLE,N,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,2.0,Y,AB1255,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141506,BA10K4I4,BAPI 10K-4 IMMERSION SENSOR,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,11.0,Y,AB1255,N,Y,N,Replenishment method,BAP
175891.0,Milwaukee (West Allis),141507,BA10K4OBB2,BAPI 10K-4 OA SENSOR,Y,R,133634.0,"BUILDING AUTOMATION PRODUCTS, INC. (BAPI)",EOQ,175891.0,0.0,0.0,N,Y,Y,4.0,Y,AB1255,N,Y,N,Replenishment method,BAP
