location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10006.0,Phoenix,106085,BEL-01DT5ML,"Duct/Immersion Temp Snsr NTC10k3 4""",Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,5.0,10.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,98010,BEL-01DT5MN,"Duct/Immersion Temp Snsr NTC10k3 6""",Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,5.0,10.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,14062,BEL-01DT5MP,"Duct/Immersion Temp Snsr NTC10k3 8""",Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,5.0,10.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,27766,BEL-LF24SRSUS,35 in-lb FS 24V 2-10V 1xAUX Mod,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,1.0,3.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,108137,BEL-LMX24MFTX1,Valve Act NFS 24V 2-10V MFT/Prog,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,27808,BEL-LRB243,Valve Act Non fail-safe 24V On/Off FLT,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,5.0,10.0,Y,Y,Y,10.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,3898,BEL-ZSCCV110,Weather Shield B2/B3 CCV for AFRB AFRX,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,BEL
10006.0,Phoenix,30610,BEL-ZSCCV90,Weather Shield B2/ B3 CCV for LF,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Min/Max,10006.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,BEL
10008.0,Salt Lake City,95736,BEL-01CT5LP,Cable Temp Snsr w/Flg NTC10k2,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Up To,10008.0,0.0,0.0,Y,Y,Y,4.0,Y,SL-6I7,N,Y,N,Replenishment method,BEL
10008.0,Salt Lake City,25789,BEL-AFB24,180 in-lb FS 24V On/Off Actuator,Y,R,133602.0,"BELIMO AIRCONTROLS (USA), INC",Up To,10008.0,0.0,0.0,Y,Y,Y,6.0,Y,SL-6H7,N,Y,N,Replenishment method,BEL
