location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10006.0,Phoenix,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,10006.0,250.0,500.0,Y,Y,Y,500.0,N,0,N,N,Y,Replenishment method,GDR
166553.0,Austin,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166553.0,0.0,0.0,N,Y,Y,2458.0,N,0,N,N,Y,Replenishment method,GDR
166553.0,Austin,101069,GDR-121944003,250 FT/RL 1/4 FR PNEU TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166553.0,0.0,0.0,N,Y,Y,48.0,N,0,N,N,Y,Replenishment method,GDR
166553.0,Austin,101073,GDR-1219440T3,250 FT/RL 1/4 TWIN POLY TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166553.0,2000.0,2000.0,N,Y,Y,950.0,N,0,N,N,Y,Replenishment method,GDR
166557.0,Dallas,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166557.0,0.0,0.0,N,Y,Y,500.0,N,0,N,N,Y,Replenishment method,GDR
166557.0,Dallas,101069,GDR-121944003,250 FT/RL 1/4 FR PNEU TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166557.0,0.0,0.0,N,Y,Y,500.0,N,0,N,N,Y,Replenishment method,GDR
166557.0,Dallas,101073,GDR-1219440T3,250 FT/RL 1/4 TWIN POLY TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166557.0,0.0,0.0,N,Y,Y,250.0,N,0,N,N,Y,Replenishment method,GDR
166559.0,Houston,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166559.0,1000.0,2000.0,Y,Y,Y,1000.0,N,0,N,N,Y,Replenishment method,GDR
166559.0,Houston,101073,GDR-1219440T3,250 FT/RL 1/4 TWIN POLY TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166559.0,1000.0,2500.0,Y,Y,Y,0.0,N,0,N,N,Y,Replenishment method,GDR
166560.0,New Orleans,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166560.0,63.0,125.0,Y,Y,Y,2500.0,N,0,N,N,Y,Replenishment method,GDR
166560.0,New Orleans,101069,GDR-121944003,250 FT/RL 1/4 FR PNEU TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166560.0,438.0,875.0,Y,Y,Y,4250.0,N,0,N,N,Y,Replenishment method,GDR
166560.0,New Orleans,101073,GDR-1219440T3,250 FT/RL 1/4 TWIN POLY TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166560.0,28.0,57.0,Y,Y,Y,500.0,N,0,N,N,Y,Replenishment method,GDR
166561.0,San Antonio,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166561.0,2000.0,6000.0,Y,Y,Y,3500.0,N,0,N,N,Y,Replenishment method,GDR
166561.0,San Antonio,101073,GDR-1219440T3,250 FT/RL 1/4 TWIN POLY TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,166561.0,250.0,1250.0,N,Y,Y,250.0,N,0,N,N,Y,Replenishment method,GDR
175888.0,New Jersey,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175888.0,0.0,0.0,N,Y,Y,13500.0,N,0,N,N,Y,Replenishment method,GDR
175888.0,New Jersey,126244,GDR-121944003030,1/4 RAINBOW 6-PK TUBING 250FT (1EA=1500',Y,R,134468.0,GOODRICH SALES INC.,EOQ,175888.0,0.0,0.0,N,Y,Y,9000.0,Y,NOBIN,N,Y,N,Replenishment method,GDR
175888.0,New Jersey,101075,GDR-121986203,"250 FT/RL 1/2"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,EOQ,175888.0,0.0,0.0,N,Y,Y,2500.0,Y,RA04-02A,N,Y,N,Replenishment method,GDR
175890.0,New York,101067,GDR-121913004,"500 FT/RL 5/32"" FR POLY TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175890.0,0.0,0.0,N,Y,Y,1500.0,N,0,N,N,Y,Replenishment method,GDR
175890.0,New York,126244,GDR-121944003030,1/4 RAINBOW 6-PK TUBING 250FT (1EA=1500',Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175890.0,0.0,0.0,N,Y,Y,12000.0,N,,N,N,Y,Replenishment method,GDR
175890.0,New York,147060,GDR-1219440D3,250 FT/RL 1/4 IN YELLOW STR FR TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175890.0,0.0,0.0,N,Y,Y,1000.0,N,,N,N,Y,Replenishment method,GDR
175890.0,New York,147054,GDR-1219440E3,250 FT/RL 1/4 IN GREEN STRIPE FR TUBING,Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175890.0,0.0,0.0,N,Y,Y,1000.0,N,,N,N,Y,Replenishment method,GDR
175891.0,Milwaukee (West Allis),147060,GDR-1219440D3,250 FT/RL 1/4 IN YELLOW STR FR TUBING,Y,R,134468.0,GOODRICH SALES INC.,EOQ,175891.0,1500.0,0.0,Y,Y,Y,1500.0,Y,E0502,N,Y,N,Replenishment method,GDR
175891.0,Milwaukee (West Allis),147058,GDR-1219440G3,250 FT/RL 1/4 IN VIOLET STRIPE FR TUBING,Y,R,134468.0,GOODRICH SALES INC.,EOQ,175891.0,500.0,0.0,Y,Y,Y,750.0,Y,E0601,N,Y,N,Replenishment method,GDR
175891.0,Milwaukee (West Allis),147068,GDR-1219662C3,250 FT/RL 3/8 ORANGE STR FR TUBING,Y,R,134468.0,GOODRICH SALES INC.,EOQ,175891.0,0.0,0.0,Y,Y,Y,0.0,Y,CTOP,N,Y,N,Replenishment method,GDR
175892.0,Green Bay,101074,GDR-121966203,"250 FT/RL 3/8"" FR PNEUMATIC TUBING",Y,R,134468.0,GOODRICH SALES INC.,Min/Max,175891.0,250.0,500.0,Y,Y,Y,500.0,Y,AA01,Y,N,N,Replenishment method,GDR
