location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10006.0,Phoenix,26396,HWI-C7041F2006U,Honeywell 20K ohm NTC Outdoor Temperatur,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,0.0,Y,PHX-23B,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,26426,HWI-C7400S1000U,JADE Enthalpy Sensor,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,0.0,Y,PHX-20A,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,253710,HWI-C7400S1010U,ENTHALPY SENSOR,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,7.0,Y,PHX-13A,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,100495,HWI-CVB4024NSVAV1U,Stryker BACnet VAV w/out Actuator,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,109471,HWI-EAGLEH255PUP,EAGLEHAWK NX UPGRADE  255P PANELBUS,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,3.0,N,,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,23677,HWI-HVFD2D3B0003,SmartVFD HVAC2: 208-230 Vac 3-phase: 0.3,N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,19105,HWI-HVFD2D3B0010,SmartVFD HVAC2: 208-230 Vac 3-phase: 1 H,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,104850,HWI-MS8103A1130U,"Damper Actuator, Spring Return, 27 LB-IN",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,1.0,Y,PHX-3D,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,28169,HWI-MS8105A1030U,"DAMPER ACTUATOR, SPRING RETURN 44LB-IN T",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,4.0,Y,PHX-1D,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,28170,HWI-MS8105A1130U,DAMPER ACTUATOR SPRING RETURN 44LB-IN TW,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,4.0,Y,PHX-1D,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,28173,HWI-MS8120A1007U,2 POSITION  DIRECT COUPLED DAMPER ACTUAT,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,1.0,Y,PHX-2B,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,92792,HWI-MVN613L0000,"Actuator, Electric",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,6.0,Y,PHX-2B,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,92793,HWI-MVN613L0000C1,"Actuator, Electric",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,3.0,Y,PHX-2B,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,92799,HWI-MVN713L0000,"Actuator, Electric",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,7.0,Y,PHX-2C,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,3696,HWI-PUB6438SRU,Bacnet Unitary Spyder Control with Relay,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,0.0,Y,PHX-16A,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,28571,HWI-PUB6438SU,Honeywell Spyder BACnet Programmable,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,3.0,Y,PHX-16C,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,3643,HWI-PUL6438SRU,Honeywell Spyder Programmable Unitary Co,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,14.0,Y,PHX-15D,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,102349,HWI-PVB0000ASU,"Spyder VAV 0/0/0/0, Int Actuator",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,Y,Y,Y,0.0,Y,PHX-15A,N,Y,N,Replenishment method,HWI
10006.0,Phoenix,2103,HWI-PVB4024NSU,MICRO BACNET SPYDER PROGRAMMABLE CONTROL,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,431140,HWI-TC300BG,Commercial TStat: Comm: FCU 24v Grey,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,10.0,15.0,Y,Y,Y,15.0,N,0,N,N,Y,Replenishment method,HWI
10006.0,Phoenix,286438,HWI-UNRS0844ES24NMC,Spyder 7 Small BACnet IP 24VAC/DC,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10006.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,120063,112630AAUPMW3SLS,112630AA/U(PMW 3SLS),N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,117527,HWI-112622AAUPMW2SLS,WELL ASSEMBLY FOR T675 AND T678.,N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,26423,HWI-C7232B1006U,DUCT MOUNTED CO2 SENSOR WITH DIGITAL DIS,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),OP/OQ,10008.0,40.0,40.0,Y,Y,Y,176.0,Y,SL-0E8,N,Y,N,Replenishment method,HWI
10008.0,Salt Lake City,433723,HWI-HMIDN,"Local HMI, DIN rail mount for Optimizer",N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,434250,HWI-IOADPTS2,Wiring Adapter with touchflake,N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,2.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,434153,HWI-IOD16UIOSS,Optimizer 16 Universal Inputs/Outputs,N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,8.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,14243,HWI-LGW1000,Honeywell LCBS Connect Gateway Requires,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),OP/OQ,10008.0,20.0,30.0,Y,Y,Y,63.0,Y,SL-2C7,N,Y,N,Replenishment method,HWI
10008.0,Salt Lake City,101841,HWI-ML7420A3055,"Elec Motor Actuator; 3/4 Stroke, 0-10vdc",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,28070,HWI-ML7421B1023,"DM ACTUATOR W/1-1/2"" STROKE",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,433913,HWI-NADV133HC,"Optimizer Advanced plant controller,",N,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,3696,HWI-PUB6438SRU,Bacnet Unitary Spyder Control with Relay,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),OP/OQ,10008.0,20.0,40.0,Y,Y,Y,48.0,Y,SL-3A3,N,Y,N,Replenishment method,HWI
10008.0,Salt Lake City,92703,HWI-PVL0000ASU,"Honwyewll Spyder Controller, LON, VAV",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,Y,Y,Y,8.0,Y,SL-3B4,N,Y,N,Replenishment method,HWI
10008.0,Salt Lake City,105896,HWI-TC500AN,"Honeywell Commercial Tstat, Wireless",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Up To,10008.0,10.0,20.0,Y,Y,Y,52.0,Y,SL-4F3,N,Y,N,Replenishment method,HWI
10008.0,Salt Lake City,516029,HWI-TR100THCG,Wall Module: Temp/Humidity/CO2,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,2.0,5.0,Y,Y,Y,0.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,516028,HWI-TR100THG,Wall Module: Temp/Humidity,Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,2.0,5.0,Y,Y,Y,0.0,N,0,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,104977,HWI-VBN2ABPA0000,"HW Control Ball Valve, 1/2 in, 2-Way,",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,109849,HWI-VGF21EP30,"3"" two way flanged globe valve, stem dow",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,4.0,N,,N,N,Y,Replenishment method,HWI
10008.0,Salt Lake City,30239,HWI-VGF31EM25,"Honeywell 2.5"" Mixing Valve, ANSI 125",Y,R,133921.0,HONEYWELL INTERNATIONAL ECC US (HOFS),Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWI
