location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10006.0,Phoenix,417118,HWW-HON9000,HON 9000 Controller,Y,R,133923.0,HONEYWELL INC.,Min/Max,10006.0,0.0,0.0,N,Y,Y,3.0,N,0,N,N,Y,Replenishment method,HWW
10006.0,Phoenix,101611,HWW-LICCHGU,License Change Move Host ID or Upgra,Y,R,133923.0,HONEYWELL INC.,Min/Max,10006.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,HWW
10008.0,Salt Lake City,43431,HWW-DRSPYDERBACU,DRIVER FOR BACNET SPYDER CONTROLLERS,Y,R,133923.0,HONEYWELL INC.,Min/Max,10008.0,0.0,0.0,N,Y,Y,12.0,N,,N,N,Y,Replenishment method,HWW
10008.0,Salt Lake City,417118,HWW-HON9000,HON 9000 Controller,Y,R,133923.0,HONEYWELL INC.,Min/Max,10008.0,0.0,0.0,N,Y,Y,15.0,N,0,N,N,Y,Replenishment method,HWW
10008.0,Salt Lake City,512173,HWW-JACE8000SDV4CSE,JACE 8000 MICROSD CASE,Y,R,133923.0,HONEYWELL INC.,Min/Max,10008.0,0.0,0.0,N,Y,Y,15.0,N,,N,N,Y,Replenishment method,HWW
10008.0,Salt Lake City,8952,HWW-NC8025,Honeywell WEB-8000 - 25 Device Core,Y,R,133923.0,HONEYWELL INC.,Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWW
10008.0,Salt Lake City,8899,HWW-WEB8000CSE,Honeywell WEB-8000 Controller,Y,R,133923.0,HONEYWELL INC.,OP/OQ,10008.0,15.0,15.0,N,Y,Y,1.0,Y,SL-5C8,N,Y,N,Replenishment method,HWW
10008.0,Salt Lake City,109135,HWW-WEBSDEMON4,WEBS NIAGRA SUPERVISOR DEMO,Y,R,133923.0,HONEYWELL INC.,Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWW
10510.0,Minneapolis,303824,BLHTEST,TEST.,N,R,133923.0,HONEYWELL INC.,Min/Max,10510.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,HWW
10510.0,Minneapolis,417118,HWW-HON9000,HON 9000 Controller,Y,R,133923.0,HONEYWELL INC.,Min/Max,10510.0,0.0,0.0,N,Y,Y,19.0,N,0,N,N,Y,Replenishment method,HWW
