location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
175883.0,Charlotte,271601,ICS-CBT3T65R,14-Point BACnet B-AAC programmable contr,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,2.0,5.0,Y,Y,Y,6.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,271602,ICS-CBT3T65RHPIMP,14-Point BACnet B-AAC programmable contr,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,0.0,5.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,271606,ICS-CBT4T42U1R,11-point BACnet B-AAC programmable contr,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,244781,ICS-CBTSTAT,CBT-STAT Intelligent Room Control Displa,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,5.0,15.0,Y,Y,Y,19.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,274877,ICS-CBV2U43TFAIMP,CBV_2U4_3T_FA_IMP B_AAC VAV+ACT US FSNAR,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,5.0,20.0,Y,Y,Y,21.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,244780,ICS-CBV2U43TIMP,BACnet B-AAC single-duct VAV terminal un,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,5.0,20.0,Y,Y,Y,14.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,244797,ICS-CBX8R8,16-Point BACnet B-AAC programmable contr,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,5.0,10.0,Y,Y,Y,6.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,271611,ICS-CBX8R8H,16- Point BACnet B-AAC programmable cont,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,3.0,10.0,Y,Y,Y,4.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,271637,ICS-FAT,FusionAir Smart Sensor  T Analog Temper,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,10.0,20.0,Y,Y,Y,79.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,271640,ICS-FATHCD,FusionAir Smart Sensor  T Temperature +,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,2.0,10.0,Y,Y,Y,9.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,271641,ICS-FATHD,FusionAir Smart Sensor T Temperature + H,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,10.0,20.0,Y,Y,Y,13.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,306096,ICS-FBXI8R896,8R8 IP,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,3.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,306095,ICS-FBXI8R8X96,Cylon FBXix  8 uniputs w/relay,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,3.0,5.0,Y,Y,Y,8.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,244798,ICS-FLX4R4,8-Point Field Level eXpansion (FLX) I/O,Y,R,183716.0,"Industrial Connections & Solutions, LLC",OP/OQ,175883.0,2.0,5.0,Y,Y,Y,6.0,N,,N,Y,Y,Replenishment method,ICS
175883.0,Charlotte,271649,ICS-FLX4R4H,8-Point Field Level eXpansion (FLX) I/O,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,271650,ICS-FLX8R8,16-Point Field Level eXpansion (FLX) I/O,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,3.0,10.0,Y,Y,Y,8.0,N,,N,N,Y,Replenishment method,ICS
175883.0,Charlotte,271651,ICS-FLX8R8H,16-Point Field Level eXpansion (FLX) I/O,Y,R,183716.0,"Industrial Connections & Solutions, LLC",Min/Max,175883.0,3.0,10.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,ICS
