location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10006.0,Phoenix,28806,IDC-RH1BUAC120V,Relay Plug-In SPDT 10A 120VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,10006.0,0.0,0.0,Y,Y,Y,10.0,Y,PHX-3D,N,Y,N,Replenishment method,IDC
10006.0,Phoenix,28844,IDC-RH4BULAC120V,Relay Plug-In 4PDT 10A 120VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,10006.0,0.0,0.0,Y,Y,Y,2.0,Y,PHX-5C,N,Y,N,Replenishment method,IDC
10008.0,Salt Lake City,27835,IDC-LSTDH2R,LSTD-H2R RED 120V LAMP,N,R,134594.0,IDEC CORPORATION,Min/Max,10008.0,10.0,0.0,Y,Y,Y,0.0,Y,SL-7C5,N,Y,N,Replenishment method,IDC
10008.0,Salt Lake City,28545,IDC-PS5RSC24,"IDEC Power Supply, 24VDC 30 Watts",N,R,134594.0,IDEC CORPORATION,Min/Max,10008.0,2.0,0.0,Y,Y,Y,0.0,Y,SL-7B3,N,Y,N,Replenishment method,IDC
10008.0,Salt Lake City,28547,IDC-PS5RSE24,"PS5R-SE24 SLIMLINE POWER SUPPLY, 24V, 90",N,R,134594.0,IDEC CORPORATION,Min/Max,10008.0,2.0,0.0,Y,Y,Y,0.0,Y,SL-11B4,N,Y,N,Replenishment method,IDC
10008.0,Salt Lake City,814,IDC-RH1BUDC12V,Relay Plug-In SPDT 10A 12VDC,Y,R,134594.0,IDEC CORPORATION,Min/Max,10008.0,10.0,0.0,Y,Y,Y,9.0,Y,SL-11B3,N,Y,N,Replenishment method,IDC
10008.0,Salt Lake City,512117,XW1E-LV413Q4MR,Illuminated E Stop push button NC contac,N,R,134594.0,IDEC CORPORATION,Min/Max,10008.0,2.0,4.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,IDC
10010.0,San Diego,286722,I-ONAUTOSWITCH,"On-Auto Switch,",N,R,134594.0,IDEC CORPORATION,Min/Max,10010.0,0.0,0.0,Y,Y,N,0.0,N,,N,Y,Y,Replenishment method,IDC
10010.0,San Diego,27161,IDC-FB1W111Y,"Enclosure 1 Hole, Yellow 76x76x59.5mm",Y,R,134594.0,IDEC CORPORATION,Min/Max,10010.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,IDC
10010.0,San Diego,27451,IDC-HW1S2TF11,"Idec 2 Pos Selector Switch, 1NO 1NC",Y,R,134594.0,IDEC CORPORATION,Min/Max,10010.0,2.0,5.0,Y,Y,Y,5.0,N,,N,N,Y,Replenishment method,IDC
10010.0,San Diego,9063,IDC-PS5RVD24,Power Supply 60W 24VDC DIN,Y,R,134594.0,IDEC CORPORATION,Min/Max,10010.0,8.0,15.0,Y,Y,Y,17.0,N,,N,N,Y,Replenishment method,IDC
10010.0,San Diego,10661,IDC-PS5RVE24,Power Supply 90W 24VDC DIN,Y,R,134594.0,IDEC CORPORATION,Min/Max,10010.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,IDC
10520.0,St Paul,823,IDC-RH2BULAC24V,Relay Plug-In DPDT 10A 24VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,10520.0,0.0,0.0,N,Y,Y,8.0,N,,N,N,Y,Replenishment method,IDC
10520.0,St Paul,150744,IDC-RTEB2AD24,Timer Blade Plug-In DPDT 10A,Y,R,134594.0,IDEC CORPORATION,Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,IDC
166553.0,Austin,12688,IDC-PS5RVB24,Power Supply 15W 24VDC DIN,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,IDC
166553.0,Austin,28806,IDC-RH1BUAC120V,Relay Plug-In SPDT 10A 120VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,20.0,0.0,Y,Y,Y,56.0,Y,LCTRO,N,Y,N,Replenishment method,IDC
166553.0,Austin,28807,IDC-RH1BUAC24V,Relay Plug-In SPDT 10A 24VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,20.0,0.0,Y,Y,Y,99.0,Y,LCTRO,N,Y,N,Replenishment method,IDC
166553.0,Austin,814,IDC-RH1BUDC12V,Relay Plug-In SPDT 10A 12VDC,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,20.0,0.0,Y,Y,Y,40.0,Y,LCTRO,N,Y,N,Replenishment method,IDC
166553.0,Austin,815,IDC-RH1BUDC24V,Relay Plug-In SPDT 10A 24VDC,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,20.0,0.0,Y,Y,Y,125.0,Y,LCTRO,N,Y,N,Replenishment method,IDC
166553.0,Austin,28813,IDC-RH1BULAC24V,Relay Plug-In SPDT 10A 24VAC,Y,R,134594.0,IDEC CORPORATION,Min/Max,166553.0,20.0,0.0,Y,Y,Y,53.0,Y,IDECO,N,Y,N,Replenishment method,IDC
