location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10510.0,Minneapolis,515705,KLN-TI290,Klein Thermal Imager,N,R,168933.0,"Klein Tools, Inc.",Min/Max,10510.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,303075,70035,Klein magnetic screwdriverW/4 interchang,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,1.0,2.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,303077,701-S,Klein hacksaw W/12 bladehacksaw blade,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,302602,KLN-31902,Klein Bi-metal hole saw kit8-piece,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,115660,KLN-32304,14-in-1 HVAC Adjustable-Length Impact S,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,98617,KLN-55421BP14,Tradesman Pro Organizer Backpack,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,302939,KLN-55485,Klein pro tool masterbackpack,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,302993,KLN-6074,Klein cabinet tip screwdrivermini cushio,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,2.0,4.0,Y,Y,Y,3.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,98922,KLN-68244,"3pc RtchSet; 1/4,5/16,3/8,7/16,5/8,9",Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,1.0,2.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,303044,KLN-68245,"Klein ratcheting offset boxwrench, rever",Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,0.0,1.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,303275,KLN-9225,"25 Ft. Double Hook, Magnetic Tape Measu",Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,304022,KLN-D200048,Klein ultra-durable cutter8 hi-leverage,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10520.0,St Paul,100533,KLN-D5098,"8"" ADJ WRENCH Wide Opening",Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10520.0,2.0,4.0,Y,Y,Y,3.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98032,KLN-1009,Long-Nose Multi-Purpose Tool,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,2.0,4.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,99572,KLN-11055,Klein-Kurve Wire Stripper/Cutter  Soli,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,2.0,4.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98152,KLN-2005N,Forged Crimper,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,115660,KLN-32304,14-in-1 HVAC Adjustable-Length Impact S,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,410296,KLN-32307,27-in-1 Tamperproof Screwdriver,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,104043,KLN-32308,8-in-1 Adjustable Length Stubby Driver,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,2.0,4.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98461,KLN-32527,11-in-1 Screwdriver/Nut Driver with Sch,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,3.0,6.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,108453,KLN-32593,6-in-1 Ratcheting Stubby Screwdriver,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,3.0,6.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98469,KLN-32596,8-in-1 HVAC Slide Drive Screwdriver/Nut,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98470,KLN-32614,4-in-1 Electronic Screwdriver w/Pocket,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,490736,KLN-32910,7-IN-1 FLIP SOCKET WITH HAND SUPERSEDED,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,516281,KLN-32933,7-IN-1 IMPACT FLIP SOCKET,N,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,0.0,0.0,N,Y,Y,2.0,N,0,N,N,Y,Replenishment method,KLN
10770.0,Nashville,109801,KLN-50550,"Glow Fish Tape, 20-Foot",Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,1.0,2.0,Y,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,302937,KLN-554161014,Tradesman Pro 10-Inch Tote,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
10770.0,Nashville,98642,KLN-56048,RECH HEADLAMP FABR STRAP 400L,Y,R,168933.0,"Klein Tools, Inc.",Min/Max,10770.0,3.0,6.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KLN
