location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10008.0,Salt Lake City,106348,KMC-BAC8005,VAV CONTROLLER 40 IN-LBS,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10008.0,Salt Lake City,23701,KMC-STE6017W80,"Sensor; SimplyVAV, Room Temp, Setpoint D",Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10008.0,Salt Lake City,102671,KMC-STE8001W80,VAV Sensor w/Digital Disp; Stpnt; Co,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10510.0,Minneapolis,5019,KMC-CSC2007,PNEU. RESET VOLUME CONT.DA/NO BOX W/BRAC,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10510.0,0.0,0.0,Y,Y,Y,6.0,Y,29G5,N,Y,N,Replenishment method,KMC
10510.0,Minneapolis,148548,KMC-MEP3006,24VAC N/O VLV ACTUAT,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10510.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10510.0,Minneapolis,97838,KMC-PLT1100WWL,Digital Thermostat,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10510.0,0.0,0.0,Y,Y,Y,0.0,Y,23C6,N,Y,N,Replenishment method,KMC
10510.0,Minneapolis,106995,KMC-RCC1001,REVERSING RELAY W/O BRACKET,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10510.0,0.0,0.0,Y,Y,Y,0.0,Y,9B4,N,Y,N,Replenishment method,KMC
10520.0,St Paul,20717,KMC-CSC2017,"VAV CONTROL, DA/NO, 2""WC, LOW CONSUMPTIO",Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10520.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,KMC
10520.0,St Paul,106620,KMC-MCP10405211,PNEUMATIC DAMPER ACTUATOR,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10520.0,St Paul,19701,KMC-XEC3001,Current to Pressure transducer,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10520.0,0.0,1.0,Y,Y,Y,1.0,N,,N,N,Y,Replenishment method,KMC
10770.0,Nashville,26560,KMC-CSC2003,CSC-2003 PNEU. RESET VOLUME CONT.,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,10770.0,15.0,30.0,Y,Y,Y,0.0,N,,N,N,Y,Replenishment method,KMC
166553.0,Austin,410210,KMC-BAC5051AE,BACnet IP Ethernet Single MSTP Router,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,166553.0,1.0,1.0,Y,Y,Y,2.0,N,0,N,N,Y,Replenishment method,KMC
166560.0,New Orleans,26559,KMC-CSC2001,CSC-2001 PNEU. RESET VOLUME CONT.,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,166553.0,0.0,0.0,N,Y,Y,2.0,Y,KMCCT,Y,N,N,Replenishment method,KMC
166560.0,New Orleans,26560,KMC-CSC2003,CSC-2003 PNEU. RESET VOLUME CONT.,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,166553.0,0.0,0.0,N,Y,Y,1.0,Y,KMCCT,Y,N,N,Replenishment method,KMC
166560.0,New Orleans,8813,KMC-CSC2009,"Controller, Pnuematic Reset",Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,166553.0,0.0,0.0,N,Y,Y,2.0,Y,KMCCT,Y,N,N,Replenishment method,KMC
166560.0,New Orleans,26561,KMC-CSC301110,PNEU. RESET VOLUME CONT.,Y,R,134053.0,Kreuter (KMC) Controls,Min/Max,166553.0,0.0,0.0,N,Y,Y,12.0,Y,KMCCT,Y,N,N,Replenishment method,KMC
