location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10008.0,Salt Lake City,417234,MCO-70290001618,HS-C 16-33VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10008.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,MCO
10008.0,Salt Lake City,415673,MCO-70290001652,HS-A 16-33VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
10008.0,Salt Lake City,417283,MCO-70290006004,CD-6B 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
10510.0,Minneapolis,297173,MCO-70071403151,DVP-120 90-250VAC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10510.0,0.0,0.0,N,Y,Y,2.0,N,,N,N,Y,Replenishment method,MCO
10510.0,Minneapolis,415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10510.0,8.0,16.0,Y,Y,Y,10.0,N,,N,N,Y,Replenishment method,MCO
10510.0,Minneapolis,415671,MCO-70290000042,TX-6-ND 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10510.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
10510.0,Minneapolis,417278,MCO-70290001352,CX-12 100-240VAC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10510.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,MCO
10510.0,Minneapolis,417246,MCO-70290005860,E-STOP Optional LED 121-24V,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10510.0,6.0,10.0,Y,Y,Y,10.0,N,,N,N,Y,Replenishment method,MCO
10520.0,St Paul,415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,10520.0,3.0,6.0,Y,Y,Y,4.0,N,,N,N,Y,Replenishment method,MCO
166559.0,Houston,415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,166559.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
166559.0,Houston,417233,MCO-70290000198,WHK-1,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,166559.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
173042.0,Boston,417224,MCO-70071544657,CM-E1-FTG,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,173042.0,0.0,0.0,N,Y,Y,5.0,N,,N,N,Y,Replenishment method,MCO
173042.0,Boston,417253,MCO-70071608023,GD-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,173042.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
173042.0,Boston,417234,MCO-70290001618,HS-C 16-33VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,173042.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
173042.0,Boston,274190,PM100-CO,Portable Gas Detector,N,T,133367.0,"MACURCO INC. (AERIONICS, INC.)",Up To,173042.0,,,Y,Y,Y,11.0,Y,MACURCO,N,Y,N,Replenishment method,MCO
175888.0,New Jersey,415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,175888.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
175890.0,New York,415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,175890.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
175890.0,New York,417253,MCO-70071608023,GD-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,175890.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,MCO
175891.0,Milwaukee (West Allis),415672,MCO-70071565009,CM-6 12-24VAC / 12-32VDC,Y,R,133367.0,"MACURCO INC. (AERIONICS, INC.)",Min/Max,175891.0,4.0,10.0,Y,Y,Y,9.0,N,,N,N,Y,Replenishment method,MCO
