location_id,location_name,inv_mast_uid,item_id,item_desc,on_vendor_price_book,product_type,primary_supplier_id,supplier_name,replenishment_method,replenishment_location,inv_min,inv_max,stockable,sellable,buy,qty_on_hand,track_bins,primary_bin,repl_loc_review,repl_meth_review,track_bin_review,discrepancy_type,Prefix_of_company
10008.0,Salt Lake City,394523,PHX-2700153,PSD-S ME OB,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,PHX
10008.0,Salt Lake City,396423,PHX-2866750,QUINT-PS/1AC/24DC/ 5,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,10008.0,0.0,0.0,N,Y,Y,1.0,N,,N,N,Y,Replenishment method,PHX
10008.0,Salt Lake City,156848,PHX-3044759,Ground Modular Terminal Block,Y,R,169692.0,"Phoenix Contact USA, Inc.",OP/OQ,10008.0,20.0,100.0,Y,Y,Y,132.0,Y,SL-2J4,N,Y,N,Replenishment method,PHX
166557.0,Dallas,400271,PHX-3004362,UK  5 N,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,166557.0,0.0,0.0,N,Y,Y,50.0,N,,N,N,Y,Replenishment method,PHX
166557.0,Dallas,274524,PHX-3005073,UK 10 N - FEED THROUGH TERM BLOCK,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,166557.0,0.0,0.0,N,Y,Y,50.0,N,,N,N,Y,Replenishment method,PHX
173042.0,Boston,3418,PHX-0800886,E/NS 35 N,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,10008.0,50.0,350.0,Y,Y,Y,0.0,N,,Y,N,Y,Replenishment method,PHX
173042.0,Boston,110001,PHX-0828736,UCT-TM 6,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,10008.0,40.0,240.0,Y,Y,Y,0.0,N,,Y,N,Y,Replenishment method,PHX
173042.0,Boston,126650,PHX-10510160001,ZB 6 LGS:FORTL.ZAHLEN 1-10,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,173042.0,0.0,0.0,N,Y,Y,9.0,N,,N,N,Y,Replenishment method,PHX
173042.0,Boston,126652,PHX-10510160011,ZB 6 LGS:FORTL.ZAHLEN 11-20,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,173042.0,0.0,0.0,N,Y,Y,9.0,N,,N,N,Y,Replenishment method,PHX
173042.0,Boston,126654,PHX-10510160021,ZB 6 LGS:FORTL.ZAHLEN 21-30,Y,R,169692.0,"Phoenix Contact USA, Inc.",Min/Max,173042.0,0.0,0.0,N,Y,Y,15.0,N,,N,N,Y,Replenishment method,PHX
